"epoch_mjd","a","e","i","om","w","ma"
60400,5.232,0.0838,15.37,114.48,255.33,328.38
60400,5.199,0.0585,33.31,164.66,153.96,21.65
60400,5.249,0.0182,19.66,124.80,134.21,102.48
60400,5.113,0.0800,9.08,26.07,52.28,28.99
60400,5.125,0.0570,6.64,224.88,154.86,89.12
60400,5.144,0.0496,17.39,38.35,35.67,32.71
60400,5.163,0.0581,17.98,327.03,66.42,90.82
60400,5.303,0.0582,3.65,341.49,80.33,73.82
60400,5.097,0.0172,7.67,218.94,205.52,264.94
60400,5.274,0.1279,3.20,12.28,348.33,343.92
60400,5.207,0.0414,10.60,311.41,144.85,44.94
60400,5.16,0.0973,16.60,218.38,113.28,20.09
60400,5.176,0.0678,17.93,31.51,208.51,99.87
60400,5.213,0.1049,9.54,171.16,169.83,20.00
60400,5.233,0.0769,8.70,164.39,212.60,338.09
60400,5.283,0.0925,17.21,215.54,90.63,27.40
60400,5.234,0.0755,3.71,133.69,222.09,327.64
60400,5.203,0.1184,14.04,189.96,44.54,107.56
60400,5.221,0.1015,27.68,231.14,122.78,10.43
60400,5.208,0.1137,17.10,93.21,225.15,27.82
60400,5.131,0.0722,9.97,43.18,38.08,15.38
60400,5.196,0.0507,40.43,207.54,105.29,44.42
60400,5.107,0.0594,7.13,141.45,340.31,343.04
60400,5.191,0.0119,9.35,29.47,152.40,288.09
60400,5.203,0.1300,25.64,66.95,5.44,32.26
60400,5.192,0.1458,21.05,45.31,6.64,48.24
60400,5.233,0.1289,26.86,108.18,272.40,85.62
60400,5.274,0.1460,18.18,100.67,352.81,8.49
60400,5.222,0.0652,22.00,306.93,93.90,72.52
60400,5.165,0.0119,12.52,33.22,334.07,104.51
60400,5.208,0.1380,12.12,312.13,183.76,345.35
60400,5.068,0.0251,2.33,52.24,38.00,19.78
60400,5.165,0.0853,9.99,314.82,92.33,57.97
60400,5.145,0.0193,9.20,27.88,50.49,36.98
60400,5.098,0.1159,20.36,72.78,11.26,38.18
60400,5.154,0.0090,6.69,112.78,353.33,22.80
60400,5.217,0.1016,7.04,183.96,184.20,93.32
60400,5.199,0.0749,7.75,77.21,48.31,358.25
60400,5.215,0.0724,7.88,61.30,57.70,341.37
60400,5.187,0.0296,11.06,188.63,277.99,358.03
60400,5.103,0.0520,3.35,291.01,130.15,65.64
60400,5.211,0.1357,25.06,144.02,258.78,72.36
60400,5.205,0.1173,11.21,218.82,211.55,40.06
60400,5.243,0.0372,19.45,263.63,209.88,30.79
60400,5.219,0.0617,7.94,309.33,193.28,342.87
60400,5.124,0.0377,8.47,258.55,182.14,29.46
60400,5.14,0.0100,4.26,108.67,300.33,54.76
60400,5.209,0.0278,5.60,113.94,338.47,10.11
60400,5.093,0.0161,1.41,65.33,321.00,82.25
60400,5.181,0.1114,7.41,98.69,28.83,336.58
60400,5.15,0.1066,29.57,260.11,203.07,5.57
60400,5.194,0.0982,16.46,286.42,129.55,36.67
60400,5.159,0.0568,10.18,25.03,72.68,23.15
60400,5.169,0.0924,6.87,24.42,4.13,75.88
60400,5.171,0.0577,2.59,202.86,261.63,339.56
60400,5.174,0.0357,11.89,83.54,324.51,52.19
60400,5.204,0.0538,20.91,287.08,229.99,326.12
60400,5.261,0.0247,10.96,83.56,213.98,173.87
60400,5.155,0.1464,7.19,35.85,342.80,111.91
60400,5.195,0.1102,7.80,213.98,320.66,307.96
60400,5.172,0.0455,21.47,292.38,225.07,325.20
60400,5.172,0.0718,29.31,247.63,146.21,308.97
60400,5.282,0.0799,9.08,16.64,47.50,28.21
60400,5.202,0.0993,1.38,189.39,96.57,178.68
60400,5.074,0.0451,2.40,48.86,27.27,37.81
60400,5.224,0.1346,10.95,289.84,158.61,21.69
60400,5.258,0.1201,9.30,256.25,180.76,22.08
60400,5.216,0.0693,9.90,219.10,196.63,48.22
60400,5.212,0.1878,10.45,309.96,343.66,65.79
60400,5.194,0.1717,14.44,104.25,320.83,40.16
60400,5.186,0.0525,1.96,43.43,356.14,61.97
60400,5.183,0.2049,3.69,1.47,75.25,40.39
60400,5.261,0.1325,18.44,317.48,63.59,90.92
60400,5.342,0.0597,8.53,317.71,125.79,28.68
60400,5.255,0.0282,1.23,3.41,14.91,132.12
60400,5.272,0.0516,17.34,256.59,253.22,337.88
60400,5.259,0.0705,9.40,230.13,210.62,47.72
60400,5.219,0.1518,11.43,129.34,293.93,52.94
60400,5.214,0.0230,8.73,285.71,312.73,227.99
60400,5.112,0.0570,16.58,329.86,133.52,14.63
60400,5.24,0.0604,7.06,147.00,246.51,65.02
60400,5.226,0.1062,15.03,174.42,284.65,19.66
60400,5.176,0.1092,10.83,301.14,139.79,19.28
60400,5.176,0.0492,12.89,110.64,271.06,330.43
